ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
72336542;11.8;31.8;0;0;0;-75;-0.14;0;-0.12;0.06;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.033;-0.012;72336434;0.0269;0;0.3186;0.001;0.703;39.835;0;-0.19;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336582;11.8;31.8;0;0;0;-74.8;-0.15;0;-0.13;0.06;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.034;-0.011;72336542;0.0269;0;0.3186;0.001;0.703;39.833;0;-0.2;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336611;11.8;31.8;0;0;0;-75.1;-0.13;0;-0.11;0.07;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.032;-0.013;72336583;0.0269;0;0.3186;0.001;0.703;39.831;0;-0.09;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336647;11.8;31.8;0;0;0;-75.6;-0.13;0;-0.11;0.06;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.031;-0.014;72336612;0.0269;0;0.3186;0.001;0.703;39.83;0;-0.19;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336668;11.8;31.8;0;0;0;-76.2;-0.14;0;-0.12;0.06;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.031;-0.014;72336649;0.0269;0;0.3186;0.001;0.703;39.829;0;-0.2;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336706;11.8;31.8;0;0;0;-76.3;-0.15;0;-0.13;0.07;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.034;-0.012;72336668;0.0269;0;0.3186;0.001;0.703;39.828;0;-0.2;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336741;11.8;31.8;0;0;0;-76.5;-0.15;0;-0.13;0.07;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.032;-0.013;72336707;0.0269;0;0.3186;0.001;0.703;39.827;0;-0.2;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336770;11.8;31.8;0;0;0;-76.1;-0.14;0;-0.12;0.07;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.032;-0.013;72336742;0.0269;0;0.3186;0.001;0.703;39.826;0;-0.2;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336800;11.8;31.8;0;0;0;-76.1;-0.13;0;-0.11;0.06;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.031;-0.014;72336771;0.0269;0;0.3186;0.001;0.703;39.825;0;-0.21;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336830;11.8;31.8;0;0;0;-75.7;-0.16;0;-0.14;0.07;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.035;-0.011;72336800;0.0269;0;0.3186;0.001;0.703;39.824;0;-0.1;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336861;11.8;31.8;0;0;0;-75.5;-0.15;0;-0.13;0.06;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.035;-0.01;72336830;0.0269;0;0.3186;0.001;0.703;39.823;0;-0.25;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336896;11.8;31.8;0;0;0;-75.5;-0.15;0;-0.12;0.07;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.031;-0.014;72336862;0.0269;0;0.3186;0.001;0.703;39.822;0;-0.17;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336924;11.8;31.8;0;0;0;-75.4;-0.15;0;-0.13;0.07;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.034;-0.011;72336896;0.0269;0;0.3186;0.001;0.703;39.821;0;-0.21;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336953;11.8;31.8;0;0;0;-75.3;-0.13;0;-0.11;0.06;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.032;-0.013;72336925;0.0269;0;0.3186;0.001;0.703;39.821;0;-0.12;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72336992;11.8;31.8;0;0;0;-75.1;-0.15;0;-0.13;0.06;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.033;-0.012;72336954;0.0269;0;0.3186;0.001;0.703;39.82;0;-0.2;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72337021;11.8;31.8;0;0;0;-75.3;-0.14;0;-0.12;0.07;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.033;-0.012;72336992;0.0269;0;0.3186;0.001;0.703;39.819;0;-0.3;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72337049;11.8;31.8;0;0;0;-75.3;-0.14;0;-0.12;0.06;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.031;-0.014;72337021;0.0269;0;0.3186;0.001;0.703;39.819;0;-0.25;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72337084;11.8;31.8;0;0;0;-75.2;-0.14;0;-0.12;0.07;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.033;-0.013;72337049;0.0269;0;0.3186;0.001;0.703;39.818;0;-0.18;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72337115;11.8;31.8;0;0;0;-74.8;-0.15;0;-0.13;0.07;0;0;0.0269;0;0.3186;0.001;100878;101086;135;0;101;0.034;-0.012;72337084;0.0269;0;0.3186;0.001;0.703;39.817;0;-0.17;0;208.763;209.193;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
