T;I1;I2;I3;V1;V2;V3;I_tot;V_zero;Phase
0.00406667;3.54579;-1.69231;-1.85348;0;0;0;3.56593;0.0301758;141.12;
0.00413333;4.43223;-2.337;-2.09524;0;0;0;4.45238;0.0754395;138.24;
0.0042;4.99634;-2.82051;-2.17582;0;0;0.0150879;5.03663;0.0754395;136.8;
0.00426667;5.8022;-2.9011;-2.9011;0;0;0;5.82234;0.0452637;133.92;
0.00433333;6.20513;-2.98168;-3.22344;0;0;0.0301758;6.22527;0.0905273;132.48;
0.0044;6.60806;-2.73993;-3.86813;0;0;0;6.65842;0.0301758;131.04;
0.00446667;6.52747;-2.82051;-3.70696;0;0;0.0150879;6.56777;0.0452637;128.16;
0.00453333;6.28571;-2.337;-3.94872;0;0;0.0150879;6.3663;0.0905273;126.72;
0.0046;6.20513;-1.53114;-4.67399;0;0;0;6.46703;0.0603516;125.28;
0.00466667;5.8022;-0.564103;-5.23809;0.0150879;0.0150879;-0.0150879;6.38645;0.0603516;122.4;
0.00473333;5.31868;0.564103;-5.88278;0;0;0.0150879;6.5174;0.0754395;120.96;
0.0048;4.91575;1.77289;-6.68864;0;0;0;6.96062;0.0301758;119.52;
0.00486667;4.0293;2.73993;-6.76923;0.0150879;0;0.0150879;6.83974;0.0150879;116.64;
0.00493333;3.62637;3.38462;-7.01099;0.0150879;0;0.0150879;7.04121;0.0754395;115.2;
0.005;3.62637;3.62637;-7.25275;0;-0.0150879;0.0150879;7.28297;0.0301758;113.76;
0.00506667;3.54579;3.22344;-6.76923;0.0150879;0;0.0150879;6.79945;0.0452637;110.88;
0.00513333;3.22344;3.06227;-6.28571;0.0150879;0;0.0150879;6.31593;0.0754395;109.44;
0.0052;2.49817;2.65934;-5.15751;0;0;0.0150879;5.18773;0.0754395;106.56;
0.00526667;2.09524;2.09524;-4.19048;0.0150879;0;0;4.21062;0.0150879;105.12;
0.00533333;1.45055;1.61172;-3.06227;0.0150879;0;0.0150879;3.09249;0.0603516;102.24;
0.0054;0.886447;0.886447;-1.77289;0.0150879;0;0.0150879;1.79304;0.0150879;99.36;
0.00546667;0.805861;0.644689;-1.45055;0.0150879;-0.0150879;0;1.48077;0.0150879;97.92;
0.00553333;0.805861;0.322344;-1.12821;0;0;0;1.18864;0.0754395;95.04;
0.0056;0.967033;-0.0805861;-0.886447;0.0150879;0;0.0150879;1.05769;0;93.6;
0.00566667;1.12821;-0.886447;-0.241758;0;0;0;1.22894;0.0905273;92.16;
0.00573333;1.36996;-1.36996;0;0.0150879;0;0;1.63187;0.0603516;89.28;
0.0058;1.28938;-1.85348;0.564103;0.0150879;0;0;1.96429;0.0150879;87.84;
0.00586667;1.28938;-1.61172;0.322344;0.0150879;0;0;1.76282;0.0301758;86.4;
0.00593333;1.12821;-2.01465;0.886447;0;0;0;2.08516;0.0754395;83.52;
0.006;1.20879;-2.17582;0.967033;0.0150879;0.0150879;0;2.24634;0.0150879;82.08;
0.00606667;1.28938;-2.65934;1.36996;0.0150879;0.0150879;0;2.72985;0.0150879;79.2;
0.00613333;1.69231;-3.06227;1.36996;0.0150879;0.0150879;0;3.13278;0.0452637;77.76;
0.0062;2.01465;-3.86813;1.85348;0.0150879;0.0150879;0;3.93864;0.0754395;76.32;
0.00626667;2.82051;-4.27106;1.45055;0.0150879;0;0;4.40201;0.0150879;73.44;
0.00633333;3.38462;-5.23809;1.85348;0;0;0;5.36905;0.0905273;72;
0.0064;4.10989;-5.39927;1.28938;0.0150879;-0.0150879;0;5.70146;0.0150879;69.12;
0.00646667;4.19048;-5.39927;1.20879;0;0;0;5.72161;0.0301758;67.68;
0.00653333;4.27106;-5.23809;0.967033;0;0;0;5.63095;0.0905273;66.24;
0.0066;4.35165;-5.23809;0.886446;0.0150879;0;0.0150879;5.66117;0.0150879;63.36;
0.00666667;5.07692;-4.43223;-0.644689;0.0150879;0;0.0150879;5.57051;0;61.92;
0.00673333;5.64103;-3.94872;-1.69231;0;0;0;5.82234;0.0754395;60.48;
0.0068;6.20513;-3.70696;-2.49817;0.0150879;0;0;6.26557;0;57.6;
0.00686667;6.60806;-3.4652;-3.14286;0;0.0150879;0;6.6282;0.0301758;56.16;
0.00693333;6.76923;-3.54579;-3.22344;0.0150879;0.0150879;-0.0150879;6.78938;0.0150879;54.72;
0.007;6.60806;-3.22344;-3.38461;0;0;0;6.6282;0;51.84;
0.00706667;6.12454;-2.9011;-3.22344;0.0150879;0;0.0150879;6.14469;0.0150879;50.4;
0.00713333;5.56044;-2.41758;-3.14286;0.0150879;0;0;5.59066;0.0754395;47.52;
0.0072;4.67399;-2.01465;-2.65934;0;0;0.0150879;4.70421;0.0754395;46.08;
0.00726667;4.10989;-1.36996;-2.73993;0.0150879;0;0;4.19048;0.0301758;43.2;
0.00733333;3.22344;-0.967033;-2.25641;0.0150879;0;0;3.3141;0.0301758;41.76;
0.0074;2.17582;-0.725275;-1.45055;0;0;0.0150879;2.21612;0.0452637;38.88;
0.00746667;1.85348;-0.483516;-1.36996;0;0;0;1.92399;0.0301758;37.44;
0.00753333;1.45055;-0.644689;-0.805861;0.0150879;0;0.0150879;1.4707;0.0754395;34.56;
0.0076;1.04762;-1.12821;0.0805861;0.0150879;0.0150879;0;1.30952;0.0150879;33.12;
0.00766667;0.483516;-1.20879;0.725275;0;0;0.0150879;1.28938;0.0754395;30.24;
0.00773333;0;-1.36996;1.36996;0;0;0;1.65201;0.0754395;28.8;
0.0078;-0.564103;-1.53114;2.09524;0.0150879;0;0;2.2967;0.0150879;25.92;
0.00786667;-1.04762;-1.53114;2.57875;0.0150879;0;0;2.71978;0.0301758;24.48;
0.00793333;-1.20879;-1.04762;2.25641;0.0301758;0;0;2.38736;0.0301758;21.6;
0.008;-1.85348;-1.28938;3.14286;0.0150879;0;-0.0150879;3.28388;0.0301758;20.16;
0.00806667;-2.17582;-1.53114;3.70696;0.0301758;0;0;3.84799;0.0150879;17.28;
0.00813333;-2.65934;-2.01465;4.67399;0.0150879;0;-0.0150879;4.81502;0.0905273;15.84;
0.0082;-2.65934;-2.57875;5.23809;0.0150879;0.0150879;-0.0150879;5.36905;0.0754395;12.96;
0.00826667;-2.65934;-3.06227;5.72161;0.0150879;0;0.0150879;5.85256;0.0150879;11.52;
0.00833333;-2.49817;-3.62637;6.12454;0.0150879;0;-0.0150879;6.28571;0.0905273;10.08;
0.0084;-2.49817;-4.0293;6.52747;0.0150879;0;0;6.70879;0.0150879;7.2;
0.00846667;-2.09524;-3.78755;5.88278;0.0301758;0;-0.0150879;6.08425;0.0301758;5.76;
0.00853333;-1.77289;-3.70696;5.47985;0.0150879;0;0;5.72161;0.0754395;4.32;
0.0086;-1.12821;-3.62637;4.75458;0.0150879;0;-0.0150879;5.087;0.0603516;1.44;
0.00866667;-0.40293;-4.10989;4.51282;0.0150879;0.0150879;0;5.10714;0.0754395;0;
0.00873333;0.725275;-4.51282;3.78755;0.0150879;0;0;4.91575;0.0754395;358.56;
0.0088;1.77289;-4.91575;3.14286;0.0150879;0;0;5.0467;0.0150879;357.12;
0.00886667;2.337;-5.31868;2.98168;0;0;0;5.39927;0;354.24;
0.00893333;2.73993;-5.56044;2.82051;0.0150879;0.0150879;0;5.62088;0.0754395;352.8;
0.009;2.98168;-5.23809;2.25641;0;0;0;5.31868;0.0301758;351.36;
0.00906667;2.98168;-4.43223;1.45055;0.0150879;0;0;4.58333;0.0150879;348.48;
0.00913333;2.49817;-3.70696;1.20879;0;0;0;3.83791;0.0754395;347.04;
0.0092;2.09524;-2.73993;0.644689;0.0150879;0;0;2.92125;0.0754395;344.16;
0.00926667;1.69231;-1.93407;0.241758;0.0150879;0;0.0150879;2.15568;0.0301758;341.28;
0.00933333;1.36996;-1.85348;0.483516;0;0.0150879;0.0150879;1.98443;0.0905273;339.84;
0.0094;1.12821;-1.36996;0.241758;0.0150879;0;0.0150879;1.52106;0.0150879;336.96;
0.00946667;0.805861;-1.12821;0.322344;0;0;0;1.21886;0.0754395;335.52;
0.00953333;0.161172;-0.644689;0.483516;0;0;0;0.735348;0.0754395;332.64;
0.0096;-0.564103;0;0.564103;0;0;0;0.765568;0;331.2;
0.00966667;-1.36996;0.564103;0.805861;0.0150879;0.0150879;0;1.44048;0.0452637;328.32;
0.00973333;-1.77289;1.12821;0.644689;0.0150879;0;0;1.84341;0.0754395;326.88;
0.0098;-2.01465;1.45055;0.564102;0.0150879;0;0;2.12546;0.0301758;324;
0.00986667;-2.17582;1.85348;0.322344;0.0301758;-0.0150879;0;2.39744;0.0150879;322.56;
0.00993333;-2.65934;2.09524;0.564102;0.0150879;-0.0150879;0;2.85073;0.0754395;319.68;
0.01;-3.14286;2.73993;0.40293;0.0150879;-0.0150879;0;3.4652;0.0603516;318.24;
0.0100667;-3.62637;2.82051;0.805861;0.0150879;-0.0150879;0;3.85806;0.0452637;315.36;
0.0101333;-4.19048;3.14286;1.04762;0.0150879;-0.0150879;0;4.41209;0.0452637;313.92;
0.0102;-4.91575;2.9011;2.01465;0.0301758;0;0;4.99634;0.0754395;312.48;
0.0102667;-5.56044;2.73993;2.82051;0.0301758;0;0;5.62088;0.0150879;309.6;
0.0103333;-5.8022;2.25641;3.54579;0.0150879;0;0;5.913;0.0754395;308.16;
0.0104;-5.72161;1.61172;4.10989;0.0150879;0;0;5.96337;0.0301758;306.72;
0.0104667;-5.23809;1.12821;4.10989;0.0301758;0;0;5.58059;0.0150879;305.28;
0.0105333;-4.67399;0.322344;4.35165;0.0150879;0;-0.0150879;5.28846;0.0905273;302.4;
