T;I1;I2;I3;V1;V2;V3;I_tot;V_zero;Phase
0;1.93407;-1.12821;-0.805861;0.0150879;0;0.0150879;1.96429;0.0754395;83.52;
6.66667e-05;2.01465;-1.20879;-0.805861;0;0;0;2.05494;0;82.08;
0.000133333;2.09524;-1.04762;-1.04762;0;0;0;2.11538;0.0905273;80.64;
0.0002;1.93407;-1.36996;-0.564103;0;0;0;2.02473;0.0301758;79.2;
0.000266667;2.01465;-1.36996;-0.644688;0.0150879;0;0;2.08516;0.0452637;79.2;
0.000333333;2.09524;-1.36996;-0.725275;0;0;0;2.15568;0.0905273;77.76;
0.0004;2.09524;-1.28938;-0.805861;0.0150879;0;0;2.13553;0;76.32;
0.000466667;2.25641;-1.53114;-0.725275;0.0150879;0;0.0150879;2.337;0.0754395;74.88;
0.000533333;2.41758;-1.45055;-0.967033;0.0150879;0;0.0150879;2.45788;0.0301758;74.88;
0.0006;2.337;-1.61172;-0.725275;0;0;0;2.41758;0.0301758;73.44;
0.000666667;2.25641;-1.85348;-0.40293;0;0;0;2.4478;0.0754395;72;
0.000733333;2.49817;-1.93407;-0.564103;0;0;0;2.65934;0.0754395;70.56;
0.0008;2.41758;-2.09524;-0.322344;0.0150879;0;0.0150879;2.66941;0.0150879;70.56;
0.000866667;2.57875;-2.337;-0.241758;0.0150879;0;0.0150879;2.89103;0.0301758;69.12;
0.000933333;3.06227;-2.337;-0.725275;0.0150879;0;0.0150879;3.23352;0.0754395;67.68;
0.001;2.98168;-2.65934;-0.322344;0;0;0;3.3141;0;67.68;
0.00106667;3.30403;-2.41758;-0.886447;0.0150879;0;-0.0150879;3.45513;0.0301758;66.24;
0.00113333;3.38462;-2.57875;-0.805861;0.0150879;0.0150879;-0.0150879;3.57601;0.0754395;64.8;
0.0012;3.70696;-2.65934;-1.04762;0.0150879;0;0.0150879;3.85806;0.0150879;64.8;
0.00126667;3.86813;-2.65934;-1.20879;0.0150879;0;0.0150879;3.98901;0.0150879;63.36;
0.00133333;4.0293;-2.65934;-1.36996;0.0150879;0.0150879;0;4.13004;0.0754395;61.92;
0.0014;4.10989;-2.65934;-1.45055;0.0150879;0;0;4.20055;0.0150879;61.92;
0.00146667;4.27106;-2.49817;-1.77289;0;0;0;4.31136;0.0754395;60.48;
0.00153333;4.43223;-2.337;-2.09524;0;-0.0150879;0.0150879;4.45238;0.0452637;59.04;
0.0016;4.10989;-2.65934;-1.45055;0;0;0;4.20055;0.0301758;57.6;
0.00166667;4.19048;-2.17582;-2.01465;0;0.0150879;0.0150879;4.21062;0.0754395;57.6;
0.00173333;4.0293;-2.337;-1.69231;0;0;0;4.0696;0.0754395;56.16;
0.0018;3.94872;-2.25641;-1.69231;0;0;0;3.98901;0.0301758;54.72;
0.00186667;3.70696;-2.09524;-1.61172;0;0;0;3.73718;0;54.72;
0.00193333;3.38462;-1.93407;-1.45055;0;0;0;3.41483;0.0905273;53.28;
0.002;3.4652;-2.09524;-1.36996;0.0150879;0;0.0150879;3.51557;0.0150879;51.84;
0.00206667;3.38462;-2.17582;-1.20879;0;0;0.0150879;3.45513;0.0150879;50.4;
0.00213333;3.22344;-2.01465;-1.20879;0;0;0;3.28388;0.0754395;50.4;
0.0022;3.06227;-2.09524;-0.967033;0;0;0;3.163;0.0301758;48.96;
0.00226667;2.98168;-2.17582;-0.805861;0;0;0;3.12271;0.0301758;47.52;
0.00233333;2.73993;-2.01465;-0.725275;0;0;0;2.87088;0.0754395;47.52;
0.0024;2.65934;-1.85348;-0.805861;0.0150879;0;0.0150879;2.76007;0.0452637;46.08;
0.00246667;2.41758;-2.09524;-0.322344;0.0150879;0.0150879;-0.0150879;2.66941;0.0754395;44.64;
0.00253333;2.41758;-2.01465;-0.40293;0.0150879;0;0;2.62912;0.0301758;43.2;
0.0026;1.93407;-2.25641;0.322344;0.0150879;0;0.0150879;2.49817;0.0150879;43.2;
0.00266667;1.85348;-2.17582;0.322344;0;0;0;2.40751;0.0905273;41.76;
0.00273333;1.69231;-2.337;0.644688;0.0150879;0;0;2.47802;0.0905273;40.32;
0.0028;1.53114;-2.17582;0.644689;0.0150879;0;0;2.2967;0.0150879;38.88;
0.00286667;1.53114;-2.01465;0.483516;0;0;0;2.16575;0;38.88;
0.00293333;1.45055;-2.09524;0.644689;0;0;0;2.20604;0.0905273;37.44;
0.003;1.45055;-2.09524;0.644689;0.0150879;0;0.0150879;2.20604;0.0301758;36;
0.00306667;1.12821;-2.25641;1.12821;0.0150879;0;0;2.32692;0.0150879;34.56;
0.00313333;1.04762;-2.337;1.28938;0;0;0;2.40751;0.0905273;34.56;
0.0032;1.20879;-1.61172;0.40293;0.0150879;0.0150879;0;1.7326;0.0150879;33.12;
0.00326667;0.805861;-2.337;1.53114;0.0150879;0;0.0150879;2.4478;0.0150879;31.68;
0.00333333;0.805861;-2.57875;1.77289;0.0150879;0.0150879;0;2.70971;0.0754395;30.24;
0.0034;0.805861;-2.01465;1.20879;0.0150879;0;0;2.09524;0.0452637;30.24;
0.00346667;0.644689;-2.09524;1.45055;0.0150879;0;0;2.21612;0.0754395;28.8;
0.00353333;0.644689;-2.17582;1.53114;0;0.0150879;-0.0150879;2.30678;0.0301758;27.36;
0.0036;0.40293;-2.337;1.93407;0.0150879;0;0;2.56868;0.0150879;25.92;
0.00366667;0.40293;-2.25641;1.85348;0.0150879;0.0150879;0;2.47802;0.0754395;25.92;
0.00373333;0.241758;-2.337;2.09524;0.0150879;0;0;2.63919;0.0150879;24.48;
0.0038;0.241758;-2.25641;2.01465;0.0150879;0;0;2.54853;0.0301758;23.04;
0.00386667;0.241758;-2.09524;1.85348;0.0150879;0;0;2.35714;0.0301758;21.6;
0.00393333;0.161172;-1.93407;1.77289;0.0150879;0;0;2.21612;0.0452637;21.6;
0.004;-0.0805861;-2.17582;2.25641;0.0150879;0;-0.0150879;2.66941;0.0452637;20.16;
0.00406667;0;-2.09524;2.09524;0;0;0;2.4881;0.0301758;18.72;
0.00413333;-0.161172;-1.85348;2.01465;0.0150879;0.0150879;0;2.35714;0.0603516;17.28;
0.0042;-0.564103;-2.01465;2.57875;0.0150879;0.0150879;0;2.83059;0.0150879;17.28;
0.00426667;-0.725275;-2.01465;2.73993;0.0301758;0;0;2.96154;0.0301758;15.84;
0.00433333;-0.725275;-2.09524;2.82051;0.0150879;0.0150879;0;3.0522;0.0754395;14.4;
0.0044;-0.886447;-2.17582;3.06227;0.0301758;0;0;3.27381;0.0150879;12.96;
0.00446667;-1.04762;-2.01465;3.06227;0.0150879;0.0150879;0;3.23352;0.0754395;12.96;
0.00453333;-0.805861;-1.85348;2.65934;0.0301758;0.0150879;-0.0150879;2.85073;0.0150879;11.52;
0.0046;-1.04762;-2.01465;3.06227;0.0301758;0;0;3.23352;0.0150879;10.08;
0.00466667;-1.36996;-2.09524;3.4652;0.0150879;0;-0.0150879;3.6163;0.0754395;8.64;
0.00473333;-1.04762;-1.93407;2.98168;0.0150879;0;0;3.15293;0.0905273;8.64;
0.0048;-1.20879;-2.25641;3.4652;0.0150879;0.0150879;0;3.64652;0.0150879;7.2;
0.00486667;-0.967033;-2.09524;3.06227;0;0;0;3.25366;0.0301758;5.76;
0.00493333;-0.967033;-2.09524;3.06227;0.0150879;0;0;3.25366;0.0754395;4.32;
0.005;-0.967033;-2.337;3.30403;0.0301758;0;0;3.52564;0;4.32;
0.00506667;-0.886447;-2.65934;3.54579;0.0150879;0;-0.0150879;3.81777;0.0452637;2.88;
0.00513333;-0.805861;-2.57875;3.38462;0.0150879;0;0;3.65659;0.0452637;2.88;
0.0052;-0.564103;-2.65934;3.22344;0.0150879;0;-0.0150879;3.56593;0.0301758;1.44;
0.00526667;-0.241758;-2.73993;2.98168;0.0150879;0;0;3.42491;0;0;
0.00533333;-0.0805861;-2.82051;2.9011;0.0150879;0;0;3.41483;0.0754395;0;
0.0054;0;-2.98168;2.98168;0;0;0;3.50549;0.0301758;358.56;
0.00546667;0.40293;-2.98168;2.57875;0;0.0150879;0.0150879;3.30403;0.0754395;358.56;
0.00553333;0.805861;-2.82051;2.01465;0.0150879;0;0;2.97161;0.0150879;357.12;
0.0056;0.644689;-2.98168;2.337;0.0150879;0;0;3.2033;0.0301758;355.68;
0.00566667;0.805861;-2.82051;2.01465;0.0150879;0.0150879;0;2.97161;0.0754395;355.68;
0.00573333;0.805861;-2.73993;1.93407;0;0;0;2.88095;0.0905273;354.24;
0.0058;0.886447;-2.65934;1.77289;0.0150879;0;0;2.78022;0.0150879;352.8;
0.00586667;0.967033;-2.65934;1.69231;0.0150879;0.0150879;0;2.76007;0.0150879;352.8;
0.00593333;0.805861;-2.49817;1.69231;0.0150879;0.0150879;0;2.61905;0.0603516;351.36;
0.006;0.644689;-2.65934;2.01465;0.0150879;0.0150879;0;2.84066;0.0150879;349.92;
0.00606667;0.483516;-2.41758;1.93407;0.0150879;0;0;2.62912;0.0301758;349.92;
0.00613333;0.40293;-2.17582;1.77289;0.0150879;0.0150879;0;2.37729;0.0754395;348.48;
0.0062;0.241758;-2.17582;1.93407;0.0150879;0;0.0150879;2.4478;0.0150879;347.04;
0.00626667;0.161172;-1.93407;1.77289;0.0150879;0;0;2.21612;0.0150879;347.04;
0.00633333;0.0805861;-1.69231;1.61172;0.0150879;0;0;1.97436;0.0754395;345.6;
0.0064;-0.161172;-1.61172;1.77289;0.0150879;0;0.0150879;2.07509;0.0150879;344.16;
0.00646667;-0.483516;-1.69231;2.17582;0.0150879;0;0;2.40751;0.0754395;344.16;
0.00653333;-0.241758;-1.36996;1.61172;0.0150879;0.0150879;0;1.85348;0.0150879;342.72;
0.0066;-0.483516;-1.20879;1.69231;0.0301758;0;0;1.86355;0.0150879;341.28;
0.00666667;-0.644689;-1.04762;1.69231;0.0150879;0;0;1.83333;0.0754395;339.84;
0.00673333;-0.805861;-1.04762;1.85348;0.0150879;0.0150879;0;1.98443;0.0754395;339.84;
