T;I1;I2;I3;V1;V2;V3;I_tot;V_zero;Phase
0;-6.84982;5.47985;1.36996;0.0150879;-0.0150879;0;7.30311;0.0150879;239.04;
6.66667e-05;-7.17216;5.07692;2.09524;0.0301758;-0.0150879;0;7.43407;0.0754395;236.16;
0.000133333;-7.57509;4.10989;3.4652;0.0301758;0;-0.0301758;7.6456;0.0603516;234.72;
0.0002;-7.4945;3.62637;3.86813;0.0301758;0;0;7.55494;0.0754395;233.28;
0.000266667;-6.9304;3.62637;3.30403;0.0150879;0;0;6.99084;0;230.4;
0.000333333;-6.76923;3.22344;3.54579;0.0301758;0;0;6.83974;0.0150879;228.96;
0.0004;-6.04396;3.30403;2.73993;0.0301758;0;0;6.11447;0.0905273;227.52;
0.000466667;-5.39927;3.06227;2.337;0.0150879;0;0.0150879;5.47985;0.0150879;224.64;
0.000533333;-4.59341;2.73993;1.85348;0.0150879;0;0;4.68407;0.0150879;223.2;
0.0006;-3.78755;2.337;1.45055;0;0;0;3.8782;0.0905273;220.32;
0.000666667;-2.82051;2.25641;0.564103;0.0301758;0;0;3.03205;0.0150879;218.88;
0.000733333;-1.77289;2.25641;-0.483516;0.0301758;0;0;2.40751;0.0301758;216;
0.0008;-1.85348;2.25641;-0.40293;0.0150879;0;0;2.43773;0.0754395;214.56;
0.000866667;-1.45055;2.9011;-1.45055;0.0150879;-0.0150879;0;2.91117;0.0150879;211.68;
0.000933333;-1.36996;3.22344;-1.85348;0.0150879;0;0.0150879;3.23352;0.0603516;210.24;
0.001;-1.20879;3.06227;-1.85348;0.0150879;-0.0150879;0;3.08242;0.0452637;207.36;
0.00106667;-0.967033;3.06227;-2.09524;0.0150879;0;0;3.12271;0.0301758;205.92;
0.00113333;-0.564103;2.9011;-2.337;0.0150879;0;0.0150879;3.06227;0.0754395;203.04;
0.0012;0;2.98168;-2.98168;0.0150879;0;0.0150879;3.4652;0.0754395;201.6;
0.00126667;0.483516;3.06227;-3.54579;0.0150879;0;0.0150879;3.86813;0.0150879;198.72;
0.00133333;1.20879;3.54579;-4.75458;0;0;0.0150879;4.96612;0.0150879;197.28;
0.0014;1.45055;3.70696;-5.15751;0;-0.0150879;0.0150879;5.33883;0.0905273;195.84;
0.00146667;2.01465;4.10989;-6.12454;0;-0.0150879;0.0150879;6.26557;0.0452637;192.96;
0.00153333;2.49817;4.43223;-6.9304;0.0150879;0;-0.0150879;7.04121;0.0452637;191.52;
0.0016;2.49817;4.43223;-6.9304;0.0150879;-0.0150879;0.0150879;7.04121;0.0452637;188.64;
0.00166667;2.73993;4.75458;-7.49451;0.0150879;0;0.0150879;7.60531;0.0150879;187.2;
0.00173333;2.09524;4.67399;-6.76923;0.0150879;0;0.0150879;6.95055;0.0150879;185.76;
0.0018;1.69231;5.39927;-7.09157;0.0150879;0;0.0150879;7.43407;0.0754395;182.88;
0.00186667;0.886447;6.04396;-6.9304;0.0150879;0;0.0150879;7.56502;0.0150879;181.44;
0.00193333;0;6.60806;-6.60806;0.0150879;0;0;7.6456;0.0754395;180;
0.002;-1.04762;7.25275;-6.20513;0.0150879;0;0.0150879;7.81685;0.0452637;178.56;
0.00206667;-2.17582;7.57509;-5.39927;0.0150879;-0.0150879;0.0150879;7.78663;0.0150879;177.12;
0.00213333;-3.06227;7.4945;-4.43223;0.0150879;0;0.0150879;7.5348;0.0754395;174.24;
0.0022;-3.14286;7.09157;-3.94872;0.0301758;-0.0150879;0.0150879;7.11172;0.0603516;172.8;
0.00226667;-2.82051;7.01099;-4.19048;0;0;0;7.05128;0;171.36;
0.00233333;-2.73993;6.52747;-3.78755;0.0301758;0;0;6.55769;0.0301758;168.48;
0.0024;-2.41758;5.88278;-3.4652;0.0150879;-0.0150879;0;5.913;0.0754395;167.04;
0.00246667;-1.85348;5.15751;-3.30403;0.0150879;-0.0150879;0;5.21795;0.0301758;164.16;
0.00253333;-1.12821;4.27106;-3.14286;0.0301758;-0.0150879;0;4.41209;0.0301758;161.28;
0.0026;-0.40293;3.38462;-2.98168;0.0150879;-0.0150879;0.0150879;3.67674;0.0754395;159.84;
0.00266667;0.564103;2.41758;-2.98168;0.0150879;0;0.0150879;3.19322;0.0150879;156.96;
0.00273333;1.04762;1.61172;-2.65934;0.0150879;0;0;2.69963;0.0754395;155.52;
0.0028;1.36996;1.45055;-2.82051;0.0150879;0;0.0150879;2.85073;0.0754395;152.64;
0.00286667;1.85348;1.28938;-3.14286;0.0150879;0;0;3.18315;0.0150879;151.2;
0.00293333;2.17582;0.967033;-3.14286;0;-0.0150879;0.0150879;3.24359;0.0754395;148.32;
0.003;2.337;0.564103;-2.9011;0.0150879;0;0;3.10256;0.0301758;146.88;
0.00306667;2.41758;0.0805861;-2.49817;0;0;0;2.86081;0.0301758;144;
0.00313333;3.14286;-0.644689;-2.49817;0;0;0;3.3141;0.0905273;142.56;
0.0032;4.0293;-1.45055;-2.57875;0;0;0;4.08974;0.0754395;141.12;
0.00326667;5.15751;-1.93407;-3.22344;0;0;0;5.21795;0.0301758;138.24;
0.00333333;5.72161;-2.65934;-3.06227;0.0150879;0;0.0150879;5.74176;0.0754395;136.8;
0.0034;6.28571;-2.98168;-3.30403;0;0;0;6.30586;0.0905273;133.92;
0.00346667;6.84982;-2.98168;-3.86813;0;0;0;6.89011;0.0301758;132.48;
0.00353333;7.09157;-2.82051;-4.27106;0;0;0;7.15201;0.0301758;131.04;
0.0036;7.09157;-2.98168;-4.10989;0;0;0;7.13187;0.0754395;128.16;
0.00366667;7.25275;-2.337;-4.91575;0;0.0150879;0;7.41392;0.0754395;126.72;
0.00373333;7.33333;-1.77289;-5.56044;0;0;0;7.65568;0.0301758;125.28;
0.0038;7.09157;-0.886447;-6.20513;0;0;0;7.71612;0.0301758;123.84;
0.00386667;6.76923;0;-6.76923;0.0150879;0;0.0150879;7.84707;0.0150879;120.96;
0.00393333;6.28571;1.04762;-7.33333;-0.0150879;0;0.0150879;7.95787;0.0905273;119.52;
0.004;5.8022;2.49817;-8.30037;0;0;0.0150879;8.54212;0.0301758;118.08;
0.00406667;4.99634;3.06227;-8.05861;0.0150879;0;0.0150879;8.15934;0.0150879;115.2;
0.00413333;4.35165;3.22344;-7.57509;0.0150879;0.0150879;0;7.62546;0.0754395;113.76;
0.0042;3.78755;3.06227;-6.84982;0.0150879;0;0.0150879;6.89011;0.0754395;112.32;
0.00426667;3.62637;2.98168;-6.60806;0.0150879;-0.0150879;0.0150879;6.64835;0.0150879;109.44;
0.00433333;3.54579;2.57875;-6.12454;0.0150879;0;0.0150879;6.17491;0.0150879;108;
0.0044;3.30403;2.09524;-5.39927;0.0150879;-0.0150879;0.0150879;5.46978;0.0754395;105.12;
0.00446667;2.73993;1.61172;-4.35165;0.0150879;0;0.0150879;4.42216;0.0150879;103.68;
0.00453333;2.25641;0.805861;-3.06227;0.0150879;0;0.0150879;3.2033;0.0150879;100.8;
0.0046;2.25641;0.40293;-2.65934;0.0150879;0;0;2.89103;0.0754395;99.36;
0.00466667;2.17582;-0.161172;-2.01465;0.0150879;0;0.0150879;2.40751;0.0301758;96.48;
0.00473333;2.17582;-0.483516;-1.69231;0.0150879;0.0150879;-0.0150879;2.27656;0.0452637;95.04;
0.0048;2.41758;-1.04762;-1.36996;0.0150879;0;0;2.43773;0.0754395;92.16;
0.00486667;2.41758;-1.77289;-0.644689;0.0150879;0.0150879;0;2.53846;0.0150879;90.72;
0.00493333;2.73993;-1.85348;-0.886447;0;0;0;2.82051;0.0905273;89.28;
0.005;2.73993;-1.85348;-0.886447;0.0150879;0;0.0150879;2.82051;0.0301758;87.84;
0.00506667;2.73993;-2.01465;-0.725275;0.0150879;0.0150879;0;2.87088;0.0150879;84.96;
0.00513333;2.57875;-2.17582;-0.40293;0;0;0.0150879;2.81044;0.0754395;83.52;
0.0052;2.65934;-2.65934;0;0.0150879;0.0150879;0;3.11264;0.0754395;80.64;
0.00526667;2.9011;-3.54579;0.644689;0;0;0;3.82784;0;79.2;
0.00533333;3.38462;-4.27106;0.886447;0.0150879;0;0.0150879;4.56319;0.0150879;76.32;
0.0054;3.86813;-4.99634;1.12821;0.0150879;0;0;5.29853;0.0754395;74.88;
0.00546667;4.0293;-5.64103;1.61172;0;0;0;5.87271;0.0301758;73.44;
0.00553333;4.27106;-5.88278;1.61172;0.0150879;0;0;6.13461;0.0301758;70.56;
0.0056;4.35165;-6.20513;1.85348;0.0150879;0.0150879;0;6.42674;0;69.12;
0.00566667;4.59341;-6.3663;1.77289;0;0;0;6.6282;0.0452637;66.24;
0.00573333;4.99634;-6.28571;1.28938;0.0150879;0.0150879;0;6.69872;0.0150879;64.8;
0.0058;5.72161;-6.20513;0.483516;0;0.0150879;0.0150879;6.96062;0.0754395;63.36;
0.00586667;6.20513;-6.04396;-0.161172;0;0;0;7.12179;0.0301758;60.48;
0.00593333;6.76923;-5.72161;-1.04762;0;0;0;7.33333;0.0754395;59.04;
0.006;7.57509;-4.83516;-2.73993;0;0.0150879;0;7.70604;0.0603516;57.6;
0.00606667;7.4945;-4.51282;-2.98168;0;0;0.0150879;7.57509;0.0301758;54.72;
0.00613333;7.25275;-4.27106;-2.98168;0;0;0.0150879;7.32326;0.0754395;53.28;
0.0062;7.01099;-3.94872;-3.06227;0;0;0;7.05128;0.0754395;51.84;
0.00626667;6.76923;-3.86813;-2.9011;0;0;0.0150879;6.8196;0.0301758;48.96;
0.00633333;6.52747;-3.54579;-2.98168;0;0;0;6.55769;0.0452637;47.52;
0.0064;5.88278;-3.30403;-2.57875;0;0.0150879;0.0150879;5.92308;0.0905273;46.08;
0.00646667;5.31868;-2.9011;-2.41758;0.0150879;0;0.0150879;5.3489;0.0150879;43.2;
0.00653333;4.67399;-2.41758;-2.25641;0.0150879;0;0.0150879;4.69414;0.0150879;41.76;
0.0066;3.54579;-2.337;-1.20879;0;0;0;3.63645;0.0754395;38.88;
0.00666667;2.41758;-2.337;-0.0805862;0.0150879;0;0.0150879;2.79029;0.0150879;37.44;
0.00673333;1.61172;-2.337;0.725275;0.0150879;0;0.0150879;2.45788;0.0150879;34.56;
0.0068;1.61172;-2.65934;1.04762;0.0150879;0.0150879;0;2.73993;0.0603516;33.12;
0.00686667;1.20879;-2.98168;1.77289;0.0150879;0;0;3.07234;0.0150879;30.24;
0.00693333;0.967033;-3.14286;2.17582;0.0150879;0;0;3.28388;0.0754395;28.8;
0.007;0.886447;-2.9011;2.01465;0.0150879;0;-0.0150879;3.04212;0.0452637;25.92;
0.00706667;0.322344;-3.06227;2.73993;0.0150879;0;0;3.43498;0.0301758;24.48;
0.00713333;-0.161172;-2.98168;3.14286;0.0150879;0;-0.0150879;3.65659;0.0754395;21.6;
0.0072;-0.725275;-3.14286;3.86813;0.0150879;0;0;4.23077;0.0754395;20.16;
0.00726667;-1.45055;-3.62637;5.07692;0.0150879;0;0;5.35897;0.0150879;17.28;
0.00733333;-2.01465;-4.0293;6.04396;0.0301758;0;0;6.27564;0.0150879;15.84;
0.0074;-2.337;-3.94872;6.28571;0.0150879;0.0150879;0;6.47711;0.0754395;14.4;
0.00746667;-2.65934;-4.27106;6.9304;0.0150879;0;0;7.12179;0.0301758;11.52;
0.00753333;-2.65934;-4.10989;6.76923;0.0301758;0;-0.0150879;6.95055;0.0150879;10.08;
0.0076;-2.65934;-3.94872;6.60806;0.0150879;-0.0150879;0;6.7793;0.0905273;7.2;
0.00766667;-2.65934;-4.19048;6.84982;0.0150879;0;-0.0150879;7.03114;0.0150879;5.76;
0.00773333;-2.17582;-4.67399;6.84982;0.0301758;0;0;7.12179;0.0150879;4.32;
0.0078;-1.77289;-5.39927;7.17216;0;0.0150879;-0.0150879;7.59524;0.0905273;2.88;
0.00786667;-0.886447;-6.12454;7.01099;0.0150879;0.0150879;0;7.75641;0.0150879;0;
0.00793333;0.322344;-6.52747;6.20513;0.0150879;0.0150879;0;7.42399;0.0603516;358.56;
0.008;1.61172;-6.84982;5.23809;0;0;0;7.2326;0.0301758;357.12;
0.00806667;2.41758;-7.25275;4.83516;0.0150879;0.0150879;0;7.45421;0.0150879;355.68;
0.00813333;3.06227;-7.09157;4.0293;0.0150879;0.0150879;-0.0150879;7.18223;0.0754395;352.8;
0.0082;3.06227;-6.52747;3.4652;0.0150879;0.0150879;0;6.59798;0.0754395;351.36;
0.00826667;2.73993;-6.20513;3.4652;0;0;0;6.28571;0;348.48;
0.00833333;2.337;-5.72161;3.38462;0.0150879;0.0150879;0;5.82234;0.0150879;347.04;
0.0084;2.09524;-4.75458;2.65934;0;0;0;4.83516;0.0301758;344.16;
0.00846667;1.28938;-4.27106;2.98168;0.0150879;0;0;4.45238;0.0754395;342.72;
0.00853333;0.564103;-2.98168;2.41758;0.0150879;0;0;3.23352;0.0301758;339.84;
0.0086;-0.161172;-2.01465;2.17582;0.0150879;0.0150879;0;2.53846;0.0603516;338.4;
0.00866667;-0.805861;-1.93407;2.73993;0.0150879;0;0;2.94139;0.0301758;335.52;
0.00873333;-1.20879;-1.36996;2.57875;0.0150879;0;0;2.70971;0.0301758;334.08;
0.0088;-1.69231;-1.36996;3.06227;0.0150879;0.0150879;0;3.19322;0.0452637;331.2;
0.00886667;-2.09524;-1.36996;3.4652;0.0150879;0;0.0150879;3.6163;0.0754395;329.76;
0.00893333;-1.93407;-1.12821;3.06227;0;0;0;3.22344;0.0905273;326.88;
0.009;-1.85348;-0.40293;2.25641;0.0150879;0;0;2.52839;0.0301758;325.44;
0.00906667;-2.337;0.0805861;2.25641;0.0150879;0;0;2.71978;0.0150879;322.56;
0.00913333;-3.22344;0.967033;2.25641;0.0150879;0;0;3.37454;0.0754395;321.12;
0.0092;-4.0293;1.61172;2.41758;0.0301758;0;0;4.11996;0.0754395;319.68;
0.00926667;-4.91575;2.25641;2.65934;0.0150879;-0.0150879;0;4.98626;0.0301758;316.8;
0.00933333;-5.56044;2.82051;2.73993;0.0150879;0;0;5.62088;0.0150879;315.36;
0.0094;-6.52747;2.73993;3.78755;0.0150879;-0.0150879;0;6.61813;0.0754395;313.92;
