ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
72302863;11.8;31.3;0;0;0;-75.4;-0.14;0;-0.12;0.06;0;0;0.0248;0;0.2946;0.0005;94872;95080;135;0;101;0.033;-0.012;72302782;0.0248;0;0.2946;0.0005;0.715;40.501;0;-0.2;0;196.333;196.764;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72302908;11.8;31.3;0;0;0;-75.6;-0.15;0;-0.13;0.07;0;0;0.0248;0;0.2946;0.0005;94872;95080;135;0;101;0.034;-0.012;72302864;0.0248;0;0.2946;0.0005;0.715;40.502;0;-0.23;0;196.333;196.764;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72302928;11.8;31.3;0;0;0;-75.4;-0.14;0;-0.12;0.06;0;0;0.0248;0;0.2946;0.0005;94872;95080;135;0;101;0.033;-0.013;72302909;0.0248;0;0.2946;0.0005;0.715;40.504;0;-0.21;0;196.333;196.764;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72302956;11.8;31.3;0;0;0;-75.4;-0.14;0;-0.13;0.06;0;0;0.0248;0;0.2946;0.0005;94872;95080;135;0;101;0.034;-0.012;72302928;0.0248;0;0.2946;0.0005;0.715;40.504;0;-0.23;0;196.333;196.764;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72302987;11.8;31.3;0;0;0;-75.3;-0.13;0;-0.11;0.06;0;0;0.0248;0;0.2946;0.0005;94872;95080;135;0;101;0.033;-0.012;72302958;0.0248;0;0.2946;0.0005;0.715;40.504;0;-0.16;0;196.333;196.764;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72303019;11.8;31.3;0;0;0;-75.5;-0.15;0;-0.13;0.07;0;0;0.0248;0;0.2946;0.0005;94872;95080;135;0;101;0.034;-0.011;72302987;0.0248;0;0.2946;0.0005;0.715;40.505;0;-0.14;0;196.333;196.764;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72303051;11.8;31.3;0;0;0;-75.8;-0.14;0;-0.12;0.06;0;0;0.0248;0;0.2946;0.0005;94872;95080;135;0;101;0.032;-0.014;72303020;0.0248;0;0.2946;0.0005;0.715;40.505;0;-0.24;0;196.333;196.764;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72303084;11.8;31.3;0;0;0;-75.5;-0.14;0;-0.11;0.06;0;0;0.0248;0;0.2946;0.0005;94872;95080;135;0;101;0.032;-0.014;72303052;0.0248;0;0.2946;0.0005;0.715;40.505;0;-0.14;0;196.333;196.764;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72303117;11.8;31.3;0;0;0;-75.1;-0.14;0;-0.12;0.06;0;0;0.0248;0;0.2946;0.0005;94872;95080;135;0;101;0.033;-0.013;72303085;0.0248;0;0.2946;0.0005;0.715;40.506;0;-0.14;0;196.333;196.764;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72303151;11.8;31.3;0;0;0;-75.1;-0.14;0;-0.12;0.07;0;0;0.0248;0;0.2946;0.0005;94872;95080;135;0;101;0.031;-0.014;72303118;0.0248;0;0.2946;0.0005;0.715;40.506;0;-0.11;0;196.333;196.764;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
72303182;11.8;31.3;0;0;0;-75.3;-0.14;0;-0.12;0.06;0;0;0.0248;0;0.2946;0.0005;94872;95080;135;0;101;0.032;-0.013;72303151;0.0248;0;0.2946;0.0005;0.715;40.507;0;-0.16;0;196.333;196.764;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
